"","X.2","X.1","X","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent","dup_population_2020"
"88",98,98,98,"Japan",126476461,-0.3,-383840,347,364555,71560,1.4,48,92,1.62,14.3,46827,84.5,"Asia",126476461
"89",99,99,99,"Jordan",10203134,1,101440,115,88780,10220,2.8,24,91,0.13,3.7,9939,74.4,"Asia",10203134
"90",100,100,100,"Kazakhstan",18776707,1.21,225280,7,2699700,-18000,2.8,31,58,0.24,22.8,30178,73.2,"Asia",18776707
"91",101,101,101,"Kenya",53771296,2.28,1197323,94,569140,-10000,3.5,20,28,0.69,5.6,4078,63.3,"Africa",53771296
"92",102,102,102,"Kiribati",119449,1.57,1843,147,810,-800,3.6,23,57,0,15.2,2193,68.1,"Oceania",119449
"93",104,104,104,"Kyrgyzstan",6524195,1.69,108345,34,191800,-4000,3,26,36,0.08,9.1,4193,71.3,"Asia",6524195
"94",105,105,105,"Laos",7275560,1.48,106105,32,230800,-14704,2.7,24,36,0.09,9.3,8684,67.6,"Asia",7275560
"95",106,106,106,"Latvia",1886198,-1.08,-20545,30,62200,-14837,1.7,44,69,0.02,17.2,32987,75.2,"Europe",1886198
"96",107,107,107,"Lebanon",6825445,-0.44,-30268,667,10230,-30012,2.1,30,78,0.09,3.2,15599,78.9,"Asia",6825445
"97",108,108,108,"Lesotho",2142249,0.8,16981,71,30360,-10047,3.2,24,31,0.03,28.9,3655,53.7,"Africa",2142249
"98",109,109,109,"Liberia",5057681,2.44,120307,53,96320,-5000,4.4,19,53,0.06,13.4,1428,63.7,"Africa",5057681
"99",110,110,110,"Libya",6871292,1.38,93840,4,1759540,-1999,2.3,29,78,0.09,5.5,9446,72.7,"Africa",6871292
"100",111,111,111,"Lithuania",2722289,-1.35,-37338,43,62674,-32780,1.7,45,71,0.03,25.7,38751,75.7,"Europe",2722289
"101",112,112,112,"Luxembourg",625978,1.66,10249,242,2590,9741,1.5,40,88,0.01,10.4,112045,82.1,"Europe",625978
"102",114,114,114,"Madagascar",27691018,2.68,721711,48,581795,-1500,4.1,20,39,0.36,6.9,1776,66.7,"Africa",27691018
"103",115,115,115,"Malawi",19129952,2.69,501205,203,94280,-16053,4.3,18,18,0.25,7.8,1292,63.8,"Africa",19129952
"104",116,116,116,"Malaysia",32365999,1.3,416222,99,328550,50000,2,30,78,0.42,6.2,34567,76.1,"Asia",32365999
"105",118,118,118,"Mali",20250833,3.02,592802,17,1220190,-40000,5.9,16,44,0.26,8.9,2569,58.9,"Africa",20250833
"106",119,119,119,"Malta",441543,0.27,1171,1380,320,900,1.5,43,93,0.01,6.5,49589,82.4,"Europe",441543
"107",121,121,121,"Mauritania",4649658,2.74,123962,5,1030700,5000,4.6,20,57,0.06,7.5,5158,64.7,"Africa",4649658
"108",122,122,122,"Mauritius",1271768,0.17,2100,626,2030,0,1.4,37,41,0.02,7.3,26461,74.9,"Africa",1271768
"109",124,124,124,"Mexico",128932753,1.06,1357224,66,1943950,-60000,2.1,29,84,1.65,5.2,21363,75,"North America",128932753
"110",126,126,126,"Moldova",4033963,-0.23,-9300,123,32850,-1387,1.3,38,43,0.05,13.4,8161,71.8,"Europe",4033963
"111",127,127,127,"Mongolia",3278290,1.65,53123,2,1553560,-852,2.9,28,67,0.04,13.3,15089,69.7,"Asia",3278290
"112",128,128,128,"Montenegro",628066,0.01,79,47,13450,-480,1.8,39,68,0.01,7.9,21977,76.8,"Europe",628066
"113",129,129,129,"Morocco",36910560,1.2,438791,83,446300,-51419,2.4,30,64,0.47,3.1,9667,76.5,"Africa",36910560
"114",130,130,130,"Mozambique",31255435,2.93,889399,40,786380,-5000,4.9,18,38,0.4,8.4,1372,60.2,"Africa",31255435
"115",131,131,131,"Myanmar",54409800,0.67,364380,83,653290,-163313,2.2,29,31,0.7,8.1,7220,66.9,"Asia",54409800
