"","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent"
"103","Kuwait",4270571,1.51,63488,240,17820,39520,2.1,37,NA,0.05,2.2,67891,75.4,"Asia"
"104","Kyrgyzstan",6524195,1.69,108345,34,191800,-4000,3,26,36,0.08,9.1,4193,71.3,"Asia"
"105","Laos",7275560,1.48,106105,32,230800,-14704,2.7,24,36,0.09,9.3,8684,67.6,"Asia"
"106","Latvia",1886198,-1.08,-20545,30,62200,-14837,1.7,44,69,0.02,17.2,32987,75.2,"Europe"
"107","Lebanon",6825445,-0.44,-30268,667,10230,-30012,2.1,30,78,0.09,3.2,15599,78.9,"Asia"
"108","Lesotho",2142249,0.8,16981,71,30360,-10047,3.2,24,31,0.03,28.9,3655,53.7,"Africa"
"109","Liberia",5057681,2.44,120307,53,96320,-5000,4.4,19,53,0.06,13.4,1428,63.7,"Africa"
"110","Libya",6871292,1.38,93840,4,1759540,-1999,2.3,29,78,0.09,5.5,9446,72.7,"Africa"
"111","Lithuania",2722289,-1.35,-37338,43,62674,-32780,1.7,45,71,0.03,25.7,38751,75.7,"Europe"
"112","Luxembourg",625978,1.66,10249,242,2590,9741,1.5,40,88,0.01,10.4,112045,82.1,"Europe"
"113","Macao",649335,1.39,8890,21645,30,5000,1.2,39,NA,0.01,NA,NA,NA,"Asia"
"114","Madagascar",27691018,2.68,721711,48,581795,-1500,4.1,20,39,0.36,6.9,1776,66.7,"Africa"
"115","Malawi",19129952,2.69,501205,203,94280,-16053,4.3,18,18,0.25,7.8,1292,63.8,"Africa"
"116","Malaysia",32365999,1.3,416222,99,328550,50000,2,30,78,0.42,6.2,34567,76.1,"Asia"
"117","Maldives",540544,1.81,9591,1802,300,11370,1.9,30,35,0.01,2.7,24796,NA,"Asia"
"118","Mali",20250833,3.02,592802,17,1220190,-40000,5.9,16,44,0.26,8.9,2569,58.9,"Africa"
"119","Malta",441543,0.27,1171,1380,320,900,1.5,43,93,0.01,6.5,49589,82.4,"Europe"
"120","Martinique",375265,-0.08,-289,354,1060,-960,1.9,47,92,0,NA,NA,NA,"Americas"
"121","Mauritania",4649658,2.74,123962,5,1030700,5000,4.6,20,57,0.06,7.5,5158,64.7,"Africa"
"122","Mauritius",1271768,0.17,2100,626,2030,0,1.4,37,41,0.02,7.3,26461,74.9,"Africa"
"123","Mayotte",272815,2.5,6665,728,375,0,3.7,20,46,0,NA,NA,NA,"Africa"
"124","Mexico",128932753,1.06,1357224,66,1943950,-60000,2.1,29,84,1.65,5.2,21363,75,"Americas"
"125","Micronesia",548914,1,5428,784,700,-2957,2.9,27,68,0.01,NA,3657,67.8,NA
"126","Moldova",4033963,-0.23,-9300,123,32850,-1387,1.3,38,43,0.05,13.4,8161,71.8,"Europe"
"127","Mongolia",3278290,1.65,53123,2,1553560,-852,2.9,28,67,0.04,13.3,15089,69.7,"Asia"
"128","Montenegro",628066,0.01,79,47,13450,-480,1.8,39,68,0.01,7.9,21977,76.8,"Europe"
"129","Morocco",36910560,1.2,438791,83,446300,-51419,2.4,30,64,0.47,3.1,9667,76.5,"Africa"
"130","Mozambique",31255435,2.93,889399,40,786380,-5000,4.9,18,38,0.4,8.4,1372,60.2,"Africa"
"131","Myanmar",54409800,0.67,364380,83,653290,-163313,2.2,29,31,0.7,8.1,7220,66.9,"Asia"
"132","Namibia",2540905,1.86,46375,3,823290,-4806,3.4,22,55,0.03,11.5,11451,63.4,"Africa"
"133","Nepal",29136808,1.85,528098,203,143350,41710,1.9,25,21,0.37,9.6,3550,70.5,"Asia"
"134","Netherlands",17134872,0.22,37742,508,33720,16000,1.7,43,92,0.22,9.6,60299,82.1,"Europe"
"135","New Caledonia",285498,0.97,2748,16,18280,502,2,34,72,0,NA,NA,NA,"Oceania"
"136","New Zealand",4822233,0.82,39170,18,263310,14881,1.9,38,87,0.06,11.6,42045,82.1,"Oceania"
"137","Nicaragua",6624554,1.21,79052,55,120340,-21272,2.4,26,57,0.08,11.9,5297,74.3,"Americas"
"138","Niger",24206644,3.84,895929,19,1266700,4000,7,15,17,0.31,9,1152,62,"Africa"
"139","Nigeria",206139589,2.58,5175990,226,910770,-60000,5.4,18,52,2.64,17.3,6172,54.3,"Africa"
"140","North Korea",25778816,0.44,112655,214,120410,-5403,1.9,35,63,0.33,10.6,NA,NA,"Asia"
"141","North Macedonia",2083374,0,-85,83,25220,-1000,1.5,39,59,0.03,6.2,17378,75.7,"Europe"
"142","Norway",5421241,0.79,42384,15,365268,28000,1.7,40,83,0.07,10.1,79638,82.5,"Europe"
"143","Oman",5106626,2.65,131640,16,309500,87400,2.9,31,87,0.07,3.5,48593,77.6,"Asia"
"144","Pakistan",220892340,2,4327022,287,770880,-233379,3.6,23,35,2.83,3.1,6016,67.1,"Asia"
"145","Panama",4314767,1.61,68328,58,74340,11200,2.5,30,68,0.06,4.4,28456,78.3,"Americas"
"146","Papua New Guinea",8947024,1.95,170915,20,452860,-800,3.6,22,13,0.11,7,4081,64.3,"Oceania"
"147","Paraguay",7132538,1.25,87902,18,397300,-16556,2.4,26,62,0.09,9.3,13213,74.1,"Americas"
"148","Peru",32971854,1.42,461401,26,1280000,99069,2.3,31,79,0.42,5.1,15399,76.5,"Americas"
"149","Philippines",109581078,1.35,1464463,368,298170,-67152,2.6,26,47,1.41,3.7,10094,71.1,"Asia"
"150","Poland",37846611,-0.11,-41157,124,306230,-29395,1.4,42,60,0.49,13.4,35651,78.5,"Europe"
"151","Portugal",10196709,-0.29,-29478,111,91590,-6000,1.3,46,66,0.13,8.6,34936,81.9,"Europe"
"152","Puerto Rico",2860853,-2.47,-72555,323,8870,-97986,1.2,44,NA,0.04,NA,41198,NA,"Americas"
"153","Qatar",2881053,1.73,48986,248,11610,40000,1.9,32,96,0.04,5.8,NA,NA,"Asia"
"154","Romania",19237691,-0.66,-126866,84,230170,-73999,1.6,43,55,0.25,8,29555,75.9,"Europe"
"155","Russia",145934462,0.04,62206,9,16376870,182456,1.8,40,74,1.87,26.5,30820,72.4,"Europe"
"156","Rwanda",12952218,2.58,325268,525,24670,-9000,4.1,20,18,0.17,11,2642,68.7,"Africa"
"157","Réunion",895312,0.72,6385,358,2500,-1256,2.3,36,100,0.01,NA,NA,NA,"Africa"
"158","Saint Lucia",183627,0.46,837,301,610,0,1.4,34,19,0,7.3,15159,76.1,"Americas"
"159","Samoa",198414,0.67,1317,70,2830,-2803,3.9,22,18,0,5.4,6493,73.2,"Oceania"
"160","Sao Tome & Principe",219159,1.91,4103,228,960,-1680,4.4,19,74,0,NA,NA,NA,"Africa"
"161","Saudi Arabia",34813871,1.59,545343,16,2149690,134979,2.3,32,84,0.45,3.4,56912,75,"Asia"
"162","Senegal",16743927,2.75,447563,87,192530,-20000,4.7,19,49,0.21,11.8,4079,67.7,"Africa"
"163","Serbia",8737371,-0.4,-34864,100,87460,4000,1.5,42,56,0.11,10.9,19767,75.8,"Europe"
"164","Seychelles",98347,0.62,608,214,460,-200,2.5,34,56,0,8.3,33118,73.3,"Africa"
"165","Sierra Leone",7976983,2.1,163768,111,72180,-4200,4.3,19,43,0.1,16.1,1765,54.3,"Africa"
"166","Singapore",5850342,0.79,46005,8358,700,27028,1.2,42,NA,0.08,7.9,105689,83.8,"Asia"
"167","Slovakia",5459642,0.05,2629,114,48088,1485,1.5,41,54,0.07,10.1,38321,77.4,"Europe"
"168","Slovenia",2078938,0.01,284,103,20140,2000,1.6,45,55,0.03,13.3,40344,81.2,"Europe"
"169","Solomon Islands",686884,2.55,17061,25,27990,-1600,4.4,20,23,0.01,5.9,2363,72.8,"Oceania"
"170","Somalia",15893222,2.92,450317,25,627340,-40000,6.1,17,47,0.2,8.3,314.5,56.7,"Africa"
"171","South Africa",59308690,1.28,750420,49,1213090,145405,2.4,28,67,0.76,12.8,13965,63.9,"Africa"
"172","South Korea",51269185,0.09,43877,527,97230,11731,1.1,44,82,0.66,20.2,46452,NA,"Asia"
"173","S. Sudan",11193725,1.19,131612,18,610952,-174200,4.7,19,25,0.14,6.1,1715,57.6,NA
"174","Spain",46754778,0.04,18002,94,498800,40000,1.3,45,80,0.6,6.1,43007,83.4,"Europe"
"175","Sri Lanka",21413249,0.42,89516,341,62710,-97986,2.2,34,18,0.27,14.2,14509,76.8,"Asia"
"176","St. Vincent & Grenadines",110940,0.32,351,284,390,-200,1.9,33,53,0,2.4,12983,72.4,"Americas"
"177","State of Palestine",5101414,2.41,119994,847,6020,-10563,3.7,21,80,0.07,NA,NA,NA,"Asia"
"178","Sudan",43849260,2.42,1036022,25,1765048,-50000,4.4,20,35,0.56,9.5,3986,65.1,"Africa"
"179","Suriname",586632,0.9,5260,4,156000,-1000,2.4,29,65,0.01,23.2,16044,71.6,"Americas"
